,,,,,,,,
,Narex Boring and Facing Head Price List 2025,,,,,,,
,,,,,,,,
Vhu A (single head in pasteboard packing),,, List excluding GST ,,,,,
,Box   80 HEAVY 4012,, $632.00 ,,,,,
,Box 110 HEAVY 4012,, $632.00 ,,,,,
,Box 125 HEAVY 4032    ,, $771.00 ,,,,,
,Box 160 HEAVY 4032,, $771.00 ,,,,,
 Spare parts aren´t component of this price-list - for demand. ,,,,,,,,
,,,,,,,,
 B 1.02 PRECISION BORING HEADS  - Vh ,,,,,,,,
,,,,,,,,
" 205,014    ","Vh  70          (komplet,set)",," $3,409.00 ",,,,,
" 205,021    ","Vh 110         (komplet,set)",," $4,127.00 ",,,,,
" 205,038    ","Vh 140         (komplet,set)",," $5,099.00 ",,,,,
,,,,,,,,
 C 1.03 ADJUSTABLE BORING HEADS- Vhs ,,,,,,,,
,,,,,,,,
" 204,208    ",Vhs  5 - 50    (komplet set),," $1,967.00 ",,,,,
" 204,185    ",Vhs  10-125  (komplet set),," $3,668.00 ",,,,,
" 204,192    ",Vhs  40-180  (komplet set),," $3,859.00 ",,,,,
,,,,,,,,
 E 1.04 EXCHANGEABLE TAPER SHANKS REPLACEABLE ,,,,,,,,
,,,,,,,,
" 208,015    ",VK360 Mk2-M8  DIN 228A,, $517.00 ,,,,,
" 208,022    ",VK360 Mk2-M10 DIN 228A,, $517.00 ,,,,,
" 208,046    ","VK360 Mk2 VV (3/8""-16UNC)",, $633.00 ,,,,,
" 208,053    ",VK360 Mk3 DIN 1806,, $566.00 ,,,,,
" 208,060    ",VK360 Mk3-M10 DIN 228A,, $530.00 ,,,,,
" 208,077    ",VK360 Mk3-M12 DIN 228A,, $530.00 ,,,,,
" 208,091    ",VK360 Mk3 VV (M12),, $678.00 ,,,,,
" 208,107    ","VK360 Mk3 VV (1/2""-12UNC)",, $678.00 ,,,,,
" 208,114    ",VK360 Mk4 DIN 1806,, $678.00 ,,,,,
" 208,121    ",VK360 Mk4-M14 DIN 228A,, $570.00 ,,,,,
" 208,138    ",VK360 Mk4-M16 DIN 228A,, $570.00 ,,,,,
" 208,336    ",VK360 Mk4 VV (M16),, $664.00 ,,,,,
" 208,152    ","VK360 Mk4 VV (5/8""-11UNC)",, $781.00 ,,,,,
" 208,169    ",VK360 Mk5 DIN 1806,, $821.00 ,,,,,
" 208,176    ",VK360 Mk6 DIN 1806,, $947.00 ,,,,,
" 208,183    ",VK360 ISO 30-M12 DIN 2080,, $593.00 ,,,,,
" 208,190    ","VK360 ISO 30-1/2""-13UNC (DIN 2080)",, $593.00 ,,,,,
" 208,206    ",VK360 ISO 30-M12 DIN 69871,, $781.00 ,,,,,
" 208,213    ",VK360 ISO 40-M16 DIN 2080,, $650.00 ,,,,,
" 208,220    ","VK360 ISO 40-5/8""-11UNC (DIN 2080)",, $650.00 ,,,,,
" 208,237    ",VK360 ISO 40-M16 DIN 69871,, $929.00 ,,,,,
" 208,244    ",VK360 ISO 50-M24 DIN 2080,, $929.00 ,,,,,
" 208,251    ",VK360 ISO 50-M24 DIN 69871,, $983.00 ,,,,,
" 208,268    ",VK360 MAS-BT 30-M12,, $781.00 ,,,,,
" 208,275    ",VK360 MAS-BT 40-M16,, $871.00 ,,,,,
" 208,282    ","VK360 CAT 30-1/2""-13UNC",, $781.00 ,,,,,
" 208,299    ","VK360 CAT 40-5/8""-11UNC",, $871.00 ,,,,,
" 208,305    ","VK360 R8 7/16""-20UNF",, $511.00 ,,,,,
" 208,817    ","VK800 R8 7/16""-20 UNF",, $583.00 ,,,,,
" 208,503    ",VK801 Mk4 DIN 1806,, $713.00 ,,,,,
" 208,510    ",VK801 Mk4-M14 DIN 228A,, $597.00 ,,,,,
" 208,527    ",VK801 Mk4-M16 DIN 228A,, $597.00 ,,,,,
" 208,541    ",VK801 Mk4 VV (M16),, $875.00 ,,,,,
" 208,558    ","VK801 Mk4 VV (5/8""-11UNC)",, $875.00 ,,,,,
" 208,565    ",VK801 Mk5 DIN 1806,, $894.00 ,,,,,
" 208,572    ",VK801 Mk5-M16 DIN 228A,, $692.00 ,,,,,
" 208,589    ",VK801 Mk5-M20 DIN 228A,, $692.00 ,,,,,
" 208,602    ",VK801 Mk5 VV (M20),," $1,050.00 ",,,,,
