sku,product_name,unit_price,unit_of_measure,stock_status,discount_1,discount_2,net_price,supplier_name
A0024.9,Jobber Drills,7.11,10,Stocked,0.68,0,2.28,Dormer
A0025.0,Jobber Drills,7.0,10,Stocked,0.68,0,2.24,Dormer
A0025.1,Jobber Drills,7.98,10,Stocked,0.68,0,2.55,Dormer
A0025.2,Jobber Drills,8.24,10,Stocked,0.68,0,2.64,Dormer
A0025.3,Jobber Drills,8.29,10,Stocked,0.68,0,2.65,Dormer
A0025.4,Jobber Drills,8.86,10,Stocked,0.68,0,2.84,Dormer
A0025.5,Jobber Drills,9.32,10,Stocked,0.68,0,2.98,Dormer
A0025.6,Jobber Drills,9.84,10,Stocked,0.68,0,3.15,Dormer
A0025.7,Jobber Drills,10.15,10,Stocked,0.68,0,3.25,Dormer
A0025.8,Jobber Drills,10.15,10,Stocked,0.68,0,3.25,Dormer
A0025.9,Jobber Drills,10.09,10,Stocked,0.68,0,3.23,Dormer
A0025/16,Jobber Drills,15.04,10,Stocked,0.68,0,4.81,Dormer
A0025/32,Jobber Drills,5.61,10,Stocked,0.68,0,1.80,Dormer
A0025/64,Jobber Drills,4.89,10,Stocked,0.68,0,1.56,Dormer
A0025/8,Jobber Drills,97.34,1,Stocked,0.68,0,31.15,Dormer
A0026.0,Jobber Drills,9.06,10,Stocked,0.68,0,2.90,Dormer
A0026.1,Jobber Drills,10.61,10,Stocked,0.68,0,3.40,Dormer
A0026.2,Jobber Drills,10.61,10,Stocked,0.68,0,3.40,Dormer
A0026.3,Jobber Drills,10.71,10,Stocked,0.68,0,3.43,Dormer
A0026.4,Jobber Drills,10.82,10,Stocked,0.68,0,3.46,Dormer
A0026.5,Jobber Drills,11.33,10,Stocked,0.68,0,3.63,Dormer
A0026.6,Jobber Drills,11.95,10,Stocked,0.68,0,3.82,Dormer
A0026.7,Jobber Drills,12.26,10,Stocked,0.68,0,3.92,Dormer
A0026.8,Jobber Drills,12.26,10,Stocked,0.68,0,3.92,Dormer
A0026.9,Jobber Drills,13.6,10,Stocked,0.68,0,4.35,Dormer
A0027.0,Jobber Drills,12.98,10,Stocked,0.68,0,4.15,Dormer
A0027.1,Jobber Drills,14.11,10,Stocked,0.68,0,4.52,Dormer
A0027.2,Jobber Drills,13.49,10,Stocked,0.68,0,4.32,Dormer
A0027.3,Jobber Drills,13.8,10,Stocked,0.68,0,4.42,Dormer
A0027.4,Jobber Drills,15.04,10,Stocked,0.68,0,4.81,Dormer
A0027.5,Jobber Drills,13.8,10,Stocked,0.68,0,4.42,Dormer
A0027.6,Jobber Drills,15.76,10,Stocked,0.68,0,5.04,Dormer
A0027.7,Jobber Drills,15.55,10,Stocked,0.68,0,4.98,Dormer
A0027.8,Jobber Drills,16.27,10,Stocked,0.68,0,5.21,Dormer
A0027.9,Jobber Drills,16.58,10,Stocked,0.68,0,5.31,Dormer
A0027/16,Jobber Drills,27.81,5,Stocked,0.68,0,8.90,Dormer
A0027/32,Jobber Drills,7.62,10,Stocked,0.68,0,2.44,Dormer
A0027/64,Jobber Drills,4.84,10,Stocked,0.68,0,1.55,Dormer
A0028.0,Jobber Drills,15.24,10,Stocked,0.68,0,4.88,Dormer
A0028.1,Jobber Drills,17.51,10,Stocked,0.68,0,5.60,Dormer
A0028.2,Jobber Drills,16.69,10,Stocked,0.68,0,5.34,Dormer
A0028.3,Jobber Drills,17.1,10,Stocked,0.68,0,5.47,Dormer
A0028.4,Jobber Drills,17.92,10,Stocked,0.68,0,5.73,Dormer
A0028.5,Jobber Drills,17.3,10,Stocked,0.68,0,5.54,Dormer
A0028.6,Jobber Drills,20.6,10,Stocked,0.68,0,6.59,Dormer
A0028.7,Jobber Drills,21.12,10,Stocked,0.68,0,6.76,Dormer
