product_name,supplier_name,sku,unit_price
3 mm Dial Indicator,Master 01 Apr,,
5 mm Dial Indicator,Master 01 Apr,,
10mm Metric Jeweled Bearing Dial Indicator,Master 01 Apr,,
"0.5"" Inch Dial Indicator, Lug Back",Master 01 Apr,,
"1"" Imperial Dial Indicator",Master 01 Apr,,
"2"" Imperial Dial Indicator",Master 01 Apr,,
3mm Metric Dial Indicator,Master 01 Apr,,
5mm Metric Dial Indicator,Master 01 Apr,,
25mm Dial Indicator,Master 01 Apr,,
30mm Metric Dial Indicator,Master 01 Apr,,
50mm Dial Indicator,Master 01 Apr,,
100mm Metric Dial Indicator,Master 01 Apr,,
10 mm Dial Indicator,Master 01 Apr,,
10mm Waterproof Ip54 Dial Indicator,Master 01 Apr,,
1mm One Revolution Dialindicator,Master 01 Apr,,
50-100mm Dual Scale Digital Bore Gauge,Master 01 Apr,,
50-160mm Dual Scale Digital Bore Gauge,Master 01 Apr,,
160-250mm Digital Precision Bore Gauge,Master 01 Apr,,
160-250mm Dual Scale Digital Bore Gauge,Master 01 Apr,,
250-450mm Dual Scale Digital Bore Gauge,Master 01 Apr,,
473mm Bore Gauge Extension,Master 01 Apr,,
35-60mm Anvil For Bore Gauges/Long Handle,Master 01 Apr,,
Set of 12 Ceramic Bore Gauge Anvil,Master 01 Apr,,
18-35mm Dial Bore Gauge,Master 01 Apr,,
6-10mm Dial Bore Gauge,Master 01 Apr,,
35-60mm Dial Bore Gauge,Master 01 Apr,,
10-18mm Dial Bore Gauge,Master 01 Apr,,
18-35mm Dial Bore Gauge,Master 01 Apr,,
18-35mm Dial Bore Gauge,Master 01 Apr,,
35-60mm Dial Bore Gauge,Master 01 Apr,,
250-450mm Dial Bore Gauge,Master 01 Apr,,
50-160mm Metric Dial Bore Gauge,Master 01 Apr,,
160-250mm Metric Dial Bore Gauge,Master 01 Apr,,
18-160 mm Dial Bore Gauge Set,Master 01 Apr,,
250-450mm Metric Dial Bore Gauge Set,Master 01 Apr,,
"0.7 - 1.5"" Dial Bore Gauge",Master 01 Apr,,
"1.4 - 2.4"" Dial Bore Gauge",Master 01 Apr,,
"2-6"" Dial Bore Gauge",Master 01 Apr,,
"6 - 10"" Dial Bore Gauge",Master 01 Apr,,
"10-16"" Dial Bore Gauge",Master 01 Apr,,
50-160mm Right Angle Bore Gauge,Master 01 Apr,,
160mm Bore Gauge Setter,Master 01 Apr,,
50mm Styli For Dial Test Indicator,Master 01 Apr,,
0.2 mm Ten Thousandth Dial Test Indicator,Master 01 Apr,,
0.8mm Metric Lever Type Dial Test Indicator,Master 01 Apr,,
200mm One Thousandth Large Dial Test Indicator,Master 01 Apr,,
4mm Clamp for Dial Test Indicator,Master 01 Apr,,
8mm Clamp for Dial Test Indicator,Master 01 Apr,,
0.14mm Precision Dial Test Indicator,Master 01 Apr,,
"0.03"" Hundred Thousandth Dial Test Indicator",Master 01 Apr,,
0.8mm Metric Long Styli Dial Test Indicator,Master 01 Apr,,
0.8mm Back Plunger Type Dial Test Indicator,Master 01 Apr,,
0.8mm Angled Face Jewelled Bearing Dial Test Indicator,Master 01 Apr,,
