product_name,unit_price,supplier_name,sku
150x25xMULTI BORE 39C60JVK MED/FINE GENERAL PURPOSE BENCH/PEDESTAL GREEN SILICON CARBIDE GRINDING WHEELS,48.75,Norton,
150x25x25.4mm 39C80JVK FINE GENERAL PURPOSE BENCH/PEDESTAL GREEN SILICON CARBIDE GRINDING WHEELS,48.75,Norton,
150x25xMULTI BORE 39C100JVK FINE GENERAL PURPOSE BENCH/PEDESTAL GREEN SILICON CARBIDE GRINDING WHEELS,48.75,Norton,
150x25x25.4mm 39C120JVK VERY FINE GENERAL PURPOSE BENCH/PEDESTAL GREEN SILICON CARBIDE GRINDING WHEELS,48.75,Norton,
180x13x31.75mm 39C60JVK MED/FINE GENERAL PURPOSE BENCH/PEDESTAL GREEN SILICON CARBIDE GRINDING WHEELS,50.62,Norton,
200x25x31.75mm 39C60JVK GENERAL PURPOSE BENCH/PEDESTAL GREEN SILICON CARBIDE GRINDING WHEELS,77.8,Norton,
200x25xMULTI BORE 39C100JVK FINE GENERAL PURPOSE BENCH/PEDESTAL GREEN SILICON CARBIDE GRINDING WHEELS,77.8,Norton,
200x25xMULTI BORE 39C120JVK VERY FINE GENERAL PURPOSE BENCH/PEDESTAL GREEN SILICON CARBIDE GRINDING WHEELS,77.8,Norton,
200x25x25.4mm 39C60KVKPL MED/FINE GENERAL PURPOSE BENCH/PEDESTAL GREEN SILICON CARBIDE GRINDING WHEELS,77.8,Norton,
200x25xMULTI BORE 39C80JVK FINE GENERAL PURPOSE BENCH/PEDESTAL GREEN SILICON CARBIDE GRINDING WHEELS,77.8,Norton,
250x25x31.75mm 39C60JVK MED/FINE GENERAL PURPOSE BENCH/PEDESTAL GREEN SILICON CARBIDE GRINDING WHEELS,148.06,Norton,
350x50x50.8mm 39C60JVK ME/FINE GENERAL PURPOSE BENCH/PEDESTAL GREEN SILICON CARBIDE GRINDING WHEELS,348.26,Norton,
100/76x40x31.75mm 39C60JVK MEDIUM/FINE GENERAL PURPOSE BENCH/PEDESTAL TYPE 11 TAPER CUP WHEELS - GREEN SILICON CARBIDE,55.79,Norton,
150/96x63x31.75mm 39C36JVK,137.01,Norton,
200x40x25.4mm REC 1S 105x20mm 39C60JVKMED/FINE GENERAL PURPOSE BENCH/PEDESTAL TYPE 5 STEEL RECESSED 1 SIDE WHEELS - GREEN SILICON CARBIDE,121.89,Norton,
200x40x25.4mm REC 1S 105x20mm 39C80JVK FINE GENERAL PURPOSE BENCH/PEDESTAL TYPE 5 STEEL RECESSED 1 SIDE WHEELS - GREEN SILICON CARBIDE,121.89,Norton,
200x40x25.4mm REC 1S 105x20mm 39C100JVK FINE GENERAL PURPOSE BENCH/PEDESTAL TYPE 5 STEEL RECESSED 1 SIDE WHEELS - GREEN SILICON CARBIDE,121.89,Norton,
100x13x19.05mm 38A60JVBE MED/FINE TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,22.15,Norton,
150x6x31.75mm 38A60JVBE MED/FINE TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,31.37,Norton,
150x13x31.75mm 38A46KVBE MEDIUM TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,32.56,Norton,
150x13x31.75mm 38A60KVBE MED/FINE TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,32.56,Norton,
150x13x31.75mm 38A80KVBE FINE TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,32.56,Norton,
150x13x31.75mm 38A120KVBE VERY FINE TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,32.56,Norton,
150x20xMULTI BORE 38A60JVBE MED/FINE TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,42.3,Norton,
