sku,product_name,supplier_name,unit_price
57 3.000,Gun Nose Tap PM HSS-E TiN Coat Red/Blue Band,Guhring Aus Stock Reseller,
57 4.000,Gun Nose Tap PM HSS-E TiN Coat Red/Blue Band,Guhring Aus Stock Reseller,
57 5.000,Gun Nose Tap PM HSS-E TiN Coat Red/Blue Band,Guhring Aus Stock Reseller,
57 6.000,Gun Nose Tap PM HSS-E TiN Coat Red/Blue Band,Guhring Aus Stock Reseller,
57 8.000,Gun Nose Tap PM HSS-E TiN Coat Red/Blue Band,Guhring Aus Stock Reseller,
57 10.000,Gun Nose Tap PM HSS-E TiN Coat Red/Blue Band,Guhring Aus Stock Reseller,
58 12.000,Gun Nose Tap PM HSS-E TiN Coat Red/Blue Band,Guhring Aus Stock Reseller,
58 14.000,Gun Nose Tap PM HSS-E TiN Coat Red/Blue Band,Guhring Aus Stock Reseller,
58 16.000,Gun Nose Tap PM HSS-E TiN Coat Red/Blue Band,Guhring Aus Stock Reseller,
59 3.000,Spiral Taps PM HSS-E TiN Coated Blue band,Guhring Aus Stock Reseller,
59 4.000,Spiral Taps PM HSS-E TiN Coated Blue band,Guhring Aus Stock Reseller,
59 5.000,Spiral Taps PM HSS-E TiN Coated Blue band,Guhring Aus Stock Reseller,
59 6.000,Spiral Taps PM HSS-E TiN Coated Blue band,Guhring Aus Stock Reseller,
59 8.000,Spiral Taps PM HSS-E TiN Coated Blue band,Guhring Aus Stock Reseller,
59 10.000,Spiral Taps PM HSS-E TiN Coated Blue band,Guhring Aus Stock Reseller,
60 12.000,Spiral Tap PM HSS-E TiN Coat Blue band,Guhring Aus Stock Reseller,
60 14.000,Spiral Tap PM HSS-E TiN Coat Blue band,Guhring Aus Stock Reseller,
60 16.000,Spiral Tap PM HSS-E TiN Coat Blue band,Guhring Aus Stock Reseller,
60 20.000,Spiral Tap PM HSS-E TiN Coat Blue band,Guhring Aus Stock Reseller,
151 2.000,Dies Metric  HSS,Guhring Aus Stock Reseller,
151 3.000,Dies Metric  HSS,Guhring Aus Stock Reseller,
151 4.000,Dies Metric  HSS,Guhring Aus Stock Reseller,
151 5.000,Dies Metric  HSS,Guhring Aus Stock Reseller,
151 6.000,Dies Metric  HSS,Guhring Aus Stock Reseller,
151 8.000,Dies Metric  HSS,Guhring Aus Stock Reseller,
151 10.000,Dies Metric  HSS,Guhring Aus Stock Reseller,
151 12.000,Dies Metric  HSS,Guhring Aus Stock Reseller,
151 16.000,Dies Metric  HSS,Guhring Aus Stock Reseller,
151 18.000,Dies Metric  HSS,Guhring Aus Stock Reseller,
151 20.000,Dies Metric  HSS,Guhring Aus Stock Reseller,
151 24.000,Dies Metric  HSS,Guhring Aus Stock Reseller,
172 6.350,W 1/4 Dies BSW HSS,Guhring Aus Stock Reseller,
172 9.525,W 3/8 Dies BSW HSS,Guhring Aus Stock Reseller,
172 12.700,W 1/2 Dies BSW HSS,Guhring Aus Stock Reseller,
182 4.166,NR 8-32 Dies UNC HSS,Guhring Aus Stock Reseller,
182 4.826,NR 10-24 Dies UNC HSS,Guhring Aus Stock Reseller,
182 6.350,1/4 - 20 Dies UNC HSS,Guhring Aus Stock Reseller,
182 7.938,5/16 - 18 Dies UNC HSS,Guhring Aus Stock Reseller,
182 9.525,3/8 - 16 Dies UNC HSS,Guhring Aus Stock Reseller,
182 11.113,7/16 - 14 Dies UNC HSS,Guhring Aus Stock Reseller,
182 12.700,1/2 - 13 Dies UNC HSS,Guhring Aus Stock Reseller,
182 15.875,5/8 - 11 Dies UNC HSS,Guhring Aus Stock Reseller,
182 19.050,3/4 - 10 Dies UNC HSS,Guhring Aus Stock Reseller,
185 6.350,1/4 - 28 Dies UNF HSS,Guhring Aus Stock Reseller,
185 7.938,5/16 - 24 Dies UNF HSS,Guhring Aus Stock Reseller,
185 9.525,3/8 - 24 Dies UNF HSS,Guhring Aus Stock Reseller,
185 11.113,7/16 - 20 Dies UNF HSS,Guhring Aus Stock Reseller,
185 12.700,1/2 - 20 Dies UNF HSS,Guhring Aus Stock Reseller,
185 14.288,9/16 - 18 Dies UNF HSS,Guhring Aus Stock Reseller,
185 15.875,5/8 - 18 Dies UNF HSS,Guhring Aus Stock Reseller,
185 19.050,3/4 - 16 Dies UNF HSS,Guhring Aus Stock Reseller,
185 34.925,1 3/8-12 Dies UNF HSS,Guhring Aus Stock Reseller,
201 0.021,Set of jobber drills (1/16 - 1/2' - 29pce),Guhring Aus Stock Reseller,
205 0.400,Jobber drill HSS 1/64,Guhring Aus Stock Reseller,
205 0.500,Jobber drill HSS,Guhring Aus Stock Reseller,
205 0.600,Jobber drill HSS,Guhring Aus Stock Reseller,
205 0.700,Jobber drill HSS,Guhring Aus Stock Reseller,
205 0.800,Jobber drill HSS,Guhring Aus Stock Reseller,
205 0.900,Jobber drill HSS,Guhring Aus Stock Reseller,
205 1.000,Jobber drill HSS,Guhring Aus Stock Reseller,
205 1.100,Jobber drill HSS,Guhring Aus Stock Reseller,
205 1.200,Jobber drill HSS,Guhring Aus Stock Reseller,
205 1.300,Jobber drill HSS,Guhring Aus Stock Reseller,
